Model,CV Score,CV Std,Test Accuracy,Test Precision,Test Recall,Test F1,Test AUC
gradient_boosting,0.6843023260080281,0.008248300796759173,0.7466835123183828,0.6844531847956287,0.684515477695797,0.6821993440145006,0.8875706948637051
random_forest,0.6785834906689738,0.008468886490476337,0.7447883765003158,0.6800868264493728,0.6744193554649947,0.6752265209916227,0.8826761222817961
neural_network,0.66569747277972,0.008690402612941983,0.7428932406822489,0.6708253851282592,0.6672681195227458,0.6670960369581552,0.882701193217065
svm,0.6519037479764551,0.005649208080876248,0.7315224257738471,0.6572411346810145,0.6611714536765124,0.6536034147300614,0.8660344623559922
logistic_regression,0.5634034882048742,0.012866271147791637,0.6784586228679722,0.6021343054436319,0.5830887377036758,0.5710918522579801,0.8172771972009265
